0-----------
Key Name	Description	Key Code	Hex Key Code	Key Pressed	Key Toggled	Last Key Press Time	
VK_ESCAPE	ESC key	27	0x1b			8/11/2020 4:06:08 PM	
VK_F1	F1 key	112	0x70		*	8/11/2020 4:06:06 PM	
VK_F2	F2 key	113	0x71		*	8/11/2020 4:06:05 PM	
VK_F3	F3 key	114	0x72		*	8/11/2020 4:06:04 PM	
VK_F4	F4 key	115	0x73		*	8/11/2020 4:06:03 PM	
VK_F5	F5 key	116	0x74		*	8/11/2020 4:06:02 PM	
VK_F6	F6 key	117	0x75		*	8/11/2020 4:06:01 PM	
VK_F7	F7 key	118	0x76		*	8/11/2020 4:05:59 PM	
VK_F8	F8 key	119	0x77		*	8/11/2020 4:05:58 PM	
VK_F9	F9 key	120	0x78		*	8/11/2020 4:05:57 PM	
VK_F10	F10 key	121	0x79		*	8/11/2020 4:05:56 PM	
VK_F11	F11 key	122	0x7a		*	8/11/2020 4:05:53 PM	
VK_F12	F12 key	123	0x7b		*	8/11/2020 4:05:47 PM	
VK_HOME	HOME key	36	0x24		*	8/11/2020 4:05:29 PM	
VK_END	END key	35	0x23		*	8/11/2020 4:05:15 PM	
VK_INSERT	INS key	45	0x2d		*	8/11/2020 4:05:12 PM	
VK_DELETE	DEL key	46	0x2e		*	8/11/2020 4:05:08 PM	
VK_OEM_PLUS	(actually assigned to equal sign)
VK_LSHIFT	(actually assigned to left parenthis)
VK_SHIFT	(actually assigned to right parenthis)
VK_BACK	BACKSPACE key	8	0x08			8/11/2020 4:08:25 PM	

1-----------
Key Name	Description	Key Code	Hex Key Code	Key Pressed	Key Toggled	Last Key Press Time	
VK_OEM_3	Used for miscellaneous characters; it can vary by keyboard.	192	0xc0			8/11/2020 3:56:40 PM	
VK_KEY_1	1 key	49	0x31			8/11/2020 3:55:12 PM	
VK_KEY_2	2 key	50	0x32			8/11/2020 3:56:40 PM	
VK_KEY_3	3 key	51	0x33			8/11/2020 3:56:40 PM	
VK_KEY_4	4 key	52	0x34			8/11/2020 3:56:40 PM	
VK_KEY_5	5 key	53	0x35			8/11/2020 3:56:40 PM	
VK_KEY_6	6 key	54	0x36			8/11/2020 3:56:40 PM	
VK_KEY_7	7 key	55	0x37			8/11/2020 3:56:40 PM	
VK_KEY_8	8 key	56	0x38			8/11/2020 3:56:40 PM	
VK_KEY_9	9 key	57	0x39			8/11/2020 3:55:03 PM	
VK_KEY_0	0 key	48	0x30			8/11/2020 3:56:40 PM	
VK_OEM_4	Used for miscellaneous characters; it can vary by keyboard.	219	0xdb			8/11/2020 3:56:40 PM	
VK_OEM_6	Used for miscellaneous characters; it can vary by keyboard.	221	0xdd			8/11/2020 3:56:40 PM	
VK_BACK	BACKSPACE key	8	0x08			8/11/2020 3:54:49 PM	
VK_NUMLOCK	NUM LOCK key	144	0x90		*	8/11/2020 3:54:45 PM	
VK_DIVIDE	Divide key	111	0x6f			8/11/2020 3:56:40 PM	
VK_MULTIPLY	Multiply key	106	0x6a			8/11/2020 3:56:40 PM	
VK_SUBTRACT	Subtract key	109	0x6d			8/11/2020 3:56:40 PM	

2-----------
Key Name	Description	Key Code	Hex Key Code	Key Pressed	Key Toggled	Last Key Press Time	
VK_TAB	TAB key	9	0x09		*	8/11/2020 4:11:17 PM	
VK_KEY_Q	Q key	81	0x51		*	8/11/2020 4:11:16 PM	
VK_KEY_W	W key	87	0x57		*	8/11/2020 4:11:15 PM	
VK_KEY_E	E key	69	0x45		*	8/11/2020 4:11:14 PM	
VK_KEY_R	R key	82	0x52		*	8/11/2020 4:11:13 PM	
VK_KEY_T	T key	84	0x54		*	8/11/2020 4:11:09 PM	
VK_KEY_Y	Y key	89	0x59		*	8/11/2020 4:11:05 PM	
VK_KEY_U	U key	85	0x55		*	8/11/2020 4:11:04 PM	
